,instagram_likes,instagram_followers,created_at,title
137,6.0,295.0,2013-06-13T23:22:46Z,#never #learned #to #drink #cocacola #lemonade #inside #happy #girl #smile #brunette #browneyes #sweater #love #boardingschool #instamood
138,3.0,80.0,2013-06-13T23:22:45Z,La noche promete... #night #studing #iphone #instagram #instaphoto #don't #sleep #cocacola #redbull #read #book
139,0.0,43.0,2013-06-13T23:22:44Z,enjoy #cocacola #ad #vintage
140,0.0,155.0,2013-06-13T23:22:43Z,Long time no post I know ); I miss y'all </3 #sorry #back #cocacola #haribo
141,5.0,338.0,2013-06-13T23:20:01Z,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice
142,2.0,147.0,2013-06-13T23:20:00Z,#Picanha#paiero#skol#cocacola#garagem#amigos
143,0.0,36.0,2013-06-13T23:19:59Z,#feiradalua #chopp #germania #cocacola #yakissoba #familia
144,0.0,71.0,2013-06-13T23:19:58Z,#cildomeireles #cocacola
145,1.0,61.0,2013-06-13T23:19:58Z,
146,1.0,89.0,2013-06-13T23:19:57Z,#cocacola#drink#best#loveit
147,5.0,323.0,2013-06-13T23:19:56Z,Drinking a cold bottle of #CocaCola for first time since beginning of the year. Been mainly drinking water and juice. #travel #airport #flying #jesus #passion #holy #spirit #youthcamp #refreshing
148,0.0,469.0,2013-06-13T23:19:55Z,#cocacola #ligth
149,3.0,5764.0,2013-06-13T23:19:53Z,#friends #walks #tired #hotday #sun #stirfry #greg #cake #cocacola #Mirrors #trampoline
150,0.0,77.0,2013-06-13T23:19:53Z,mais uma :D agora só falta a azul *-* hahaha #cocacola #amarela #copa
151,3.0,33.0,2013-06-13T23:19:52Z,Party hard! #party #music #dance #drinks #redbull #vodka #cola #coca #cocacola #coke #joke #fun #love #night #clubbing
152,2.0,338.0,2013-06-13T23:19:51Z,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice
153,0.0,265.0,2013-06-13T23:19:50Z,#cocacola #me #engorda #sou #gorda 
154,0.0,137.0,2013-06-13T23:19:43Z,Fazendo gordiceee master com ele @alanzinhuu #ht2 #cocacola #batatas #gordice #delicia #namorado
155,,,2013-06-13T23:18:41Z,Olha o que eu achei @jercivania ! #JK #CocaCola com #Sorvete ! http://t.co/uJvFST4wUv
156,0.0,228.0,2013-06-13T23:16:54Z,"Eu juro que eu nao ia comprar nada, mas, nao resisti rs Depois do trabalho, uma passada no shopping *-* #blusa #frio #inverno #veminverno #cocacola #greve #de #trem #da #nisso kkkkkk"
157,0.0,110.0,2013-06-13T23:16:50Z,Lejos la mejor de todas #cocacola #familia #losreyes
158,1.0,80.0,2013-06-13T23:16:49Z,#ammore #cocacola #coke #love
159,8.0,319.0,2013-06-13T23:16:48Z,Cola Splash
