"X","Unnamed..0","Unnamed..0.1","instagram_likes","instagram_comments","instagram_followers","country","title","zip","kmeans","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","rf"
8616,8616,"8615",674,0,5119,NA,"#igersturkey#ighub#truestory#really#shades#nom#lesbian#blackhair#keep#redlips
#here#philippines#again#de#humor#instaart#boo#youtube#grandma#hockey
#goodlife#candle#owl#cocacola#philly#starbucks#volleyball#feeling#marchphotoaday#aprilphotochallenge",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.946395051379
6326,6326,"6326",1,0,43,NA,"Trankil #SoirÃ©e#EntreFrangin#CocaCola#PosÃ©#Delire#Alaize",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60787298023723
6866,6866,"6865",20,2,938,NA,"I'm a bit addicted.. #drpepper #cocacola #drink #addicted #addiction #oops #nails",NA,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7771383476356
51,51,"51",3,0,265,NA,"Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.97357137731147
3715,3715,"3715",0,0,74,NA,"Mentos. <3 #mentos #cocacola #strawberry #tuttifruity.",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5965706234162
993,993,"993",0,0,9,NA,"#Barbecue for #dinner and #DietPepsi in a #CocaCola glass.. #Delicious",NA,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.801221977930197
8787,8787,"8786",3,0,33,NA,"#yumm #vanilla #cocacola",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09943346015702
4067,4067,"4067",1,0,670,NA,"Merci Dimitri âù_. #cocacola #my #name #enfin #trouver #lovelovelove #good #mathilde #photooftheday #photo #cute #mignon #drink",NA,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.66503870114215
7736,7736,"7735",5,0,135,"Sweden","Julia #cocacola","164 33",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80108040525113
7960,7960,"7959",10,2,152,NA,"#hardrock #lisbon #cocacola #afternoon #brother",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59069444587058
