,instagram_likes,instagram_comments,instagram_followers,country,title,zip
196,1,0,156,,#igscout #_wg #instagramer #instaaaaah #insta_crew #instapicture #instamillion #instagold #photolocker #instago #instagroove #ignation #instahub #original #golook #gang_family #insta_underdog #tagstagramers #all_shots #instapic #igaddict #centralfeed #tagsta #igs#cocacola,
197,4,1,443,,#amoremiogrande #bff #sempreinsieme #belle #come #il #sole #hihi #pranzetto #met #sunny #day #summer #sun #cocacola #zero #ghiaccioelimone #top #beautiful #day #ciao #atutti #belliebrutti,
198,3,0,0,,#cocacola#_____»Ñƒ_±Ñ‹_µ #___»_°_·_° #ÑçÑ„_µ_ºÑ‚Ñ‹ #Ñ€_°_´__ÑÅÑ‚ÑŒ,
199,52,2,460,Norway,So damn hot,2212
200,104,1,935,,"On ignore celui qui tient Ã  nous mais on tient Ã  celui qui nous ignore. On aime celui qui nous blesse, et on blesse celui qui nous aime. #BestFriend #Smile #Sun",
201,8,0,96,,#CocaCola #Coke #Coca #arabic #arab #bottle #CASABLANCA #Marrakesh #london #usa #nyc #uae #dubai #munich #stuttgart #roma #milano #red Le plaisir de descendre une bouteille le soir ;),
202,1,0,4617,,They missin out..... #wtffunfacts #cocacola #northkorea #cuba #soda #facts #random #interesting #foodforthought #educateyourself #goodtoknow #countries #hilarious #comical #hashtagqueen #followme #learnsomethingneweveryday #funfacts #crazy #cantbelieveit,
203,0,0,39,,Uhu #cocacola #viber,
204,0,0,199,,I'm so board #turbos #cocacola #relax,
205,0,0,145,Canada,Student council end-of-the-year party #mind #over #body #coke #cocacola,L5W 1L9
206,0,0,22,United Kingdom,"Can't finish all the coke, always have a bit left, not on purpose! #cocacola",E14 2
207,0,0,29,,#cocacola #coca #cola #limited #edition #personalizzata #personalized #dj #condividi #share #simon #ricci,
208,60,1,4517,United States,â™¡ . â€œPower Tripâ€ù . â™¡ ï’¨â™¥â˜€ï’¯ . ï˜_,31820
209,0,0,192,,Never thought I'd see my name!! #coke #stacey #cocacola #thirsty,
210,10,1,169,Sweden,10:00 imorgon Ã¶ppnar portarna till Vattenlandet Sunne. Varmt VÃ_lkomna,663 41
211,0,0,29,,Que tal??? #Beijinho #Brigadeiro #CocaCola #Night,
212,0,0,72,,@omniarem #coca #cola #cocacola #amico #per #sempre #forever #4ever,
213,0,0,75,,forgot about the 2 coca cola pens and a Micky mouse postcard #cocacola #pens,
214,0,0,54,,#vasovaca #mumu #capri #Ã±ami #cocacola #olakase,
215,0,0,242,,Nunca dejen una bebida en lata mucho tiempo en el congelador #SÃ_lomepasaamÃ_ #fail #epicfail #error #bebida #nordic #lata #iceberg #ice #crush #sprite #cocacola #soda #cueck,
216,1,0,153,,#McDonalds #CocaCola #Burger #FrenchFries #instacool #like,
217,19,1,1482,Hungary,Jucikaï˜ƒï‘€ï_‰ï_‰,1143
218,1,0,47,,tehe.. âù_ #share #a #coke #with #prinsessa #princess #l4l #cocacola,
