,instagram_likes,instagram_comments,instagram_followers,country,title,zip
182,3.0,0.0,148.0,Brazil,"Tiupar, social. 
#social #party #coke #cocacola #love #photooftheday #look #like #iphoneonly #instagood #instago #colorful #style #swag",25036-390
183,0.0,0.0,255.0,,#fikk#gave#av#bjørnar#kjekken#cocacola#agderposten,
184,1.0,0.0,113.0,,#i #get #this #bottle #of #CocaCola #from #my #handsome #schoolmate @aljazjager #before #movie #cinema #HelloKitty #haha #followme #mačka #cat #meow #mjaw,
185,0.0,0.0,867.0,Italy,#cocacola #cocofashionblogger,20145
186,22.0,1.0,1672.0,,Coca cola •open happiness• #cantwink #retarded #happiness #cocacola,
187,0.0,0.0,77.0,United Kingdom,Not sure if this is a name or another brand of coke? #stoneczko #cola #cocacola  #wtf #confused,CF37 1
188,1.0,0.0,37.0,,Cola... #cocacola,
189,20.0,1.0,87.0,,#cocacola #and #some #american #candy,
190,0.0,0.0,95.0,United Kingdom,"Earlier I found my mum, nan and aunties name all next to each other on the shelf! #spooky #fate #cocacola #shareacoke #family",DN31 3
191,2.0,2.0,97.0,,Share a coke with a Friend （＾∇＾）,
192,2.0,1.0,762.0,,Miam,
193,1.0,0.0,27.0,,#HDR #effect #flowers #dog #picture #cocacola #decoration #bottles,
194,1.0,0.0,34.0,Ukraine,#jajda #zamuuchila #coffe #coldcoffe#cocktail #cocacola #burn #energizer #coldlatte #latte #drink #summer #sun #air #green #yalta #alushta #energydrink,
195,3.0,0.0,621.0,Italy,Pane arabo... #questesonogioie #cocacola #panearabo #crudo #pomodori #insalata #pizza #casamatta #firenze #instafirenze #instaitalia #instapizza #instaeat #igersfirenze @igers_firenze @igersfirenze #instatoscana #instalike,50136
196,1.0,0.0,156.0,,#igscout #_wg #instagramer #instaaaaah #insta_crew #instapicture #instamillion #instagold #photolocker #instago #instagroove #ignation #instahub #original #golook #gang_family #insta_underdog #tagstagramers #all_shots #instapic #igaddict #centralfeed #tagsta #igs#cocacola,
197,4.0,1.0,443.0,,#amoremiogrande #bff #sempreinsieme #belle #come #il #sole #hihi #pranzetto #met #sunny #day #summer #sun #cocacola #zero #ghiaccioelimone #top #beautiful #day #ciao #atutti #belliebrutti,
198,3.0,0.0,0.0,,#cocacola#голубые #глаза #эфекты #радость,
199,52.0,2.0,460.0,Norway,So damn hot,2212
200,104.0,1.0,935.0,,"On ignore celui qui tient à nous mais on tient à celui qui nous ignore. On aime celui qui nous blesse, et on blesse celui qui nous aime. #BestFriend #Smile #Sun",
201,8.0,0.0,96.0,,#CocaCola #Coke #Coca #arabic #arab #bottle #CASABLANCA #Marrakesh #london #usa #nyc #uae #dubai #munich #stuttgart #roma #milano #red Le plaisir de descendre une bouteille le soir ;),
202,1.0,0.0,4617.0,,They missin out..... #wtffunfacts #cocacola #northkorea #cuba #soda #facts #random #interesting #foodforthought #educateyourself #goodtoknow #countries #hilarious #comical #hashtagqueen #followme #learnsomethingneweveryday #funfacts #crazy #cantbelieveit,
203,0.0,0.0,39.0,,Uhu #cocacola #viber,
204,0.0,0.0,199.0,,I'm so board #turbos #cocacola #relax,
205,0.0,0.0,145.0,Canada,Student council end-of-the-year party #mind #over #body #coke #cocacola,L5W 1L9
206,0.0,0.0,22.0,United Kingdom,"Can't finish all the coke, always have a bit left, not on purpose! #cocacola",E14 2
207,0.0,0.0,29.0,,#cocacola #coca #cola #limited #edition #personalizzata #personalized #dj #condividi #share #simon #ricci,
208,60.0,1.0,4517.0,United States,♡ . “Power Trip” . ♡ ♥☀ . ,31820
209,0.0,0.0,192.0,,Never thought I'd see my name!! #coke #stacey #cocacola #thirsty,
210,10.0,1.0,169.0,Sweden,10:00 imorgon öppnar portarna till Vattenlandet Sunne. Varmt Välkomna,663 41
211,0.0,0.0,29.0,,Que tal??? #Beijinho #Brigadeiro #CocaCola #Night,
212,0.0,0.0,72.0,,@omniarem #coca #cola #cocacola #amico #per #sempre #forever #4ever,
213,0.0,0.0,75.0,,forgot about the 2 coca cola pens and a Micky mouse postcard #cocacola #pens,
214,0.0,0.0,54.0,,#vasovaca #mumu #capri #ñami #cocacola #olakase,
215,0.0,0.0,242.0,,Nunca dejen una bebida en lata mucho tiempo en el congelador #Sólomepasaamí #fail #epicfail #error #bebida #nordic #lata #iceberg #ice #crush #sprite #cocacola #soda #cueck,
216,1.0,0.0,153.0,,#McDonalds #CocaCola #Burger #FrenchFries #instacool #like,
217,19.0,1.0,1482.0,Hungary,Jucika,1143
218,1.0,0.0,47.0,,tehe.. ❤ #share #a #coke #with #prinsessa #princess #l4l #cocacola,
219,0.0,0.0,41.0,,Condividi una cocacola con un tuo amico! #cocacola #france #paris #love #this #city,
220,0.0,0.0,20.0,,Last time I'll see Kanyin for the summer #cocacola,
221,2.0,1.0,65.0,,Linksmuoliaujam :) #friends #vodka #party,
222,10.0,0.0,381.0,,Para aligerar el día. #love #CocaCola #TFLers #tweegram #photooftheday #20likes #amazing #followme #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #like #girl #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram #colorful #style #coatza,
223,15.0,0.0,8448.0,,Who is Robin?  #cocacola#robin#kärleken#sara#lol#my#name#niggah#bitch#instagood#drinks#loveit#lamo#fuckers,
224,0.0,0.0,320.0,France,#cocacola,75116
225,6.0,0.0,385.0,Italy,Condividi questa Coca Cola con chi sorride  @giuls_cherry ❤ #cocacola#lattina#chisorride#behappy#sore#sister#beauty#beautiful#drink#red#redpassion#nails#insta#pic#photooftheday#instaday#tag#target#code#hand#best#likes#likeforlike#l4l#xoxo,21040
226,7.0,0.0,80.0,,#me and my  #super #sexy #brother #love #him #share a #cocacola eith #olga @capsh1ika #instaphoto #instamood #instamoment #photooftheday #followme,
